"marca","nombre_fantasia","denominacion","RNPA"
"Chocoleit","No registra","Alfajor dietético relleno de dulce de leche cubierto con chocolate blanco libre de gluten y sin azúcar agregada","02-587575"
"Con Las Manos En La Masa","No registra","Alfajor de maicena relleno de dulce de leche - Libre de gluten","02-611817"
"Delician","Delician","Alfajor de dulce de leche cubierto con baño de repostería libre de gluten","025/08004104/008"
"Delician","No registra","Alfajor relleno de dulce de leche libre de gluten","025/08004104/007"
"Dos Hermanos","No registra","Alfajor de arroz dietético con relleno sabor dulce de leche cubierto con baño de repostería fantasía blanco - Libre de gluten","02-588937"
"Dos Hermanos","No registra","Alfajor de arroz dietético relleno con mousse de dulce de leche cubierto con baño de repostería semiamargo light - Libre de gluten","02-588939"
"Ficco Gourmet","Alfajor de almidón de maíz","Alfajor de almidón de maíz con coco rallado relleno de dulce de leche. Libre de gluten. Sin TACC. Tenor graso 14%","22002828"
"Ficco Gourmet","Alfajor de chocolate","Alfajor de chocolate relleno de dulce de leche con baño de repostería sabor vainilla. Libre de gluten. Sin TACC. Tenor graso 20%","22002830"
"Ficco Gourmet","Alfajor de mandioca","Alfajor de fécula de mandioca relleno con dulce de membrillo.Libre de gluten. Sin TACC. Tenor graso 6%","22002809"
"Ficco Gourmet","Alfajor de trigo sarraceno","Alfajor de harina de trigo sarraceno y miel relleno con dulce de membrillo. Libre de gluten. Sin TACC. Tenor graso 16%","22002810"
"Ficco Gourmet","Alfajor de amaranto","Alfajor de harina integral de amaranto relleno con dulce de membrillo. Libre de gluten. Sin TACC. Tenor graso 17%","22002826"
"Ficco Gourmet","Alfajor blanco","Alfajor relleno con dulce de leche con baño de repostería blanco. Libre de gluten. Sin TACC. Tenor graso 20%","22002827"
"Ficco's Gourmet","Alfajor de harina de sorgo","Alfajor de harina de sorgo relleno con dulce de membrillo. Libre de gluten. Sin TACC","22002825"
"Frida","No registra","Alfajor de almidón de maiz relleno de dulce de leche - Libre de gluten","02-611849"
"Frida","No registra","Alfajor de dulce de leche con baño de repostería blanco - Libre de gluten","02-611851"
"Frida","No registra","Alfajor de dulce de leche con baño de repostería negro - Libre de gluten","02-611848"
"Frida","No registra","Alfajor relleno de dulce de leche de frambuesa con baño de repostería negro - Libre de gluten","02-611844"
"Fundación Favaloro","No registra","Alfajor de arroz relleno con mousse de dulce de leche cubierto con baño de repostería semiamargo. Libre de gluten","02-582631"
"Gallo Snacks","No registra","Alfajor de arroz con relleno con dulce de leche cubierto con baño de repostería fantasía blanco con sabor a vainilla - Libre de gluten - Chococrunch de arroz","02-596819"
"Gallo Snacks","No registra","Alfajor de arroz con relleno con dulce de leche cubierto con baño de repostería semiamargo- Libre de gluten- Chococrunch de arroz","02-597140"
"Hora Sana","No registra","Alfajor de maicena rellenos de dulce de leche - Libre de gluten","02-610534"
"Il Toscano","No registra","Alfajor blanco glaseado - Libre de gluten","02-609331"
"Il Toscano","No registra","Alfajor de maicena - Libre de gluten","02-609340"
"Jumbo Más Calidad","Alfajor de arroz negro","Galleta de arroz integral con relleno a base de dulce de leche cubierto con baño de repostería semiamargo – Tipo alfajor de arroz - Dietético – Libre de gluten","02-583017"
"Jumbo Más Calidad","Alfajor de arroz blanco","Galleta de arroz integral con relleno sabor dulce de leche cubierto con baño de repostería fantasía blanco – Tipo alfajor de arroz dietético – Libre de gluten","02-583050"
"Kapac","No registra","Alfajores rellenos con dulce de leche cubiertos con coco rallado libre de gluten sin TACC","02-569589"
"Kapac","No registra","Alfajores rellenos con dulce de leche cubiertos con baño de repostería semiamargo  libres de gluten fortificado con vitaminas B1, B6, B9, B3, B12","02-569588"
"La Oma Haida","No registra","Alfajor de nuez relleno con dulce de leche - Libre de gluten","02-585585"
"La Oma Haida","No registra","Alfajor relleno con dulce de leche - Libre de gluten","02-585586"
"Lulemuu","No registra","Alfajor de arroz con relleno sabor vainilla cubierto con baño de repostería fantasía de yogurt sabor frutilla - Libre de gluten","02-578801"
"Lulemuu","No registra","Galleta de arroz rellena con dulce de leche - Tipo alfajor - Libre de gluten","02-577967"
"Lulemuu","No registra","Galletas de arroz con relleno sabor limón cubiertas con baño de repostería semiamargo - Tipo alfajor - Libre de gluten","02-577981"
"Lulemuu","No registra","Galletas de arroz dietéticas rellenas con dulce de leche cubierto con baño de fantasía blanco - Tipo alfajor - Libre de gluten","02-577983"
"Lulemuu - Marroc","No registra","Galletas de arroz dietéticas con relleno a base de pasta de maní cubiertas con baño de repostería semiamargo ligth - Tipo alfajor - Libre de gluten","02-577982"
"Malviss Delicias","No registra","Alfajor de maicena con dulce de leche y coco- Libre de gluten","02-611763"
"Mamuschka","Alfajor de harina de almendras relleno con dulce de frambuesas, bañado con chocolate semiamargo libre de gluten","Alfajor de harina de almendras relleno con dulce de frambuesas, bañado con chocolate semiamargo libre de gluten","16011107"
"Mamuschka","Alfajor de harina de almendras relleno con dulce de leche, bañado con chocolate con leche, libre de gluten","Alfajor de harina de almendras relleno con dulce de leche, bañado con chocolate con leche, libre de gluten","16011104"
"Mamuschka","Alfajor de harina de almendras relleno con dulce de mosqueta, bañado con chocolate semiamargo libre de gluten","Alfajor de harina de almendras relleno con dulce de mosqueta, bañado con chocolate semiamargo libre de gluten","16011108"
"Mamuschka","Alfajor de harina de almendras relleno con dulce de sauco bañado con chocolate semiamargo libre de gluten","Alfajor de harina de almendras relleno con dulce de sauco bañado con chocolate semiamargo libre de gluten","16011105"
"Mar de Soja","No registra","Alfajor relleno de dulce de leche con cobertura de chocolate - Libre de gluten","02-560459"
"Mar de Soja","No registra","Alfajor relleno de dulce de leche con baño de merengue - Libre de gluten","02-575905"
"Mi Refugio Sin TACC","No registra","Alfajor de maicena relleno con dulce de leche Libre de gluten","02-610992"
"Mini Arrocitas - Alfajorcito de arroz","No registra","Galleta de arroz con relleno sabor a dulce de leche cubierto con baño de repostería libre de gluten","02-576893"
"No registra","Manto Sagrado","Alfajor relleno con dulce de leche y baño glasé tipo santafesino – Libre de gluten","13041163"
"No registra","Manto Sagrado","Alfajor relleno con dulce de leche y coco – Libre de gluten","13041263"
"Olive","Alfajor de maicena libre de gluten","Alfajor de almidón de maíz relleno con dulce de leche libre de gluten","13046779"
"Oro del Yokavil","No registra","Alfajor de harina de nuez relleno con dulce de leche libre de gluten","030041941"
"Patagonia Sin T.A.C.C.","No registra","Alfajor de fécula de maíz con dulce de leche bañado- Libre de gluten","07004962"
"Patagonia Sin T.A.C.C.","No registra","Alfajor de fécula de maíz con dulce de leche - Libre de Gluten","07004961"
"Ruca Umel","Alfajor de dulce de leche con baño de repostería blanco y negro libre de gluten","Alfajor de dulce de leche con baño de repostería blanco y negro - Libre de gluten","16010061"
"Saber Comer","No registra","Alfajor de almidón de maíz – relleno con dulce de leche – Cubierto con chocolate – Libre de gluten","13042247"
"Sans Gluten","No registra","Alfajor de maicena relleno de dulce de leche libre de gluten","02-592156"
"Sans Gluten","No registra","Alfajor recubierto con baño de repostería semiamargo relleno de dulce de leche libre de gluten","02-592155"
"Sans Gluten","No registra","Alfajor recubierto con baño de respostería fantasía blanco relleno de dulce de leche libre de gluten","02-595034"
"Santa María","No registra","Alfajor de maicena - Libre de gluten","02-569936"
"Santa María","No registra","Alfajor relleno con dulce de leche con baño de chocolate blanco - Libre de gluten","02-533315"
"Santa María","No registra","Alfajor relleno con dulce de leche con baño de chocolate - Libre de gluten","02-525226"
"Ser","No registra","Alfajor de arroz relleno a base de dulce de leche con baño de repostería libre de gluten","02-584992"
"Ser - Alfajor de arroz sabor limón","No registra","Alfajor de arroz relleno sabor limón con baño de repostería, libre de gluten","02-585025"
"Sol de Invierno","No registra","Alfajor de dulce de leche cubierto con baño de chocolate blanco - Libre de gluten","02-600523"
"Sol de Invierno","No registra","Alfajor de dulce de leche cubierto con chocolate semiamargo - Libre de gluten","02-601684"
"Tante Gretty","No registra","Alfajor relleno con dulce de leche con cobertura de chocolate - Libre de gluten","02-574925"
"Tante Gretty","No registra","Alfajor relleno de dulce de leche con baño azucarado   Libre de gluten","02-565510"
"Tasty Crunch","No registra","Alfajor compuesto de dos tapas de galletas de arroz doble carolina integral y yamaní integral, relleno con mousse sabor limón y bañado con baño de repostería de chocolate semiamargo - Libre de gluten - alfajor arroz","02-592733"
"Tasty Crunch - Alfajor de Arroz","No registra","Galletas de arroz integral con semillas de chía, relleno con sabor mousse de dulce de leche y con baño de repostería, libre de gluten","02-584879"
"Tía Maruca","No registra","Alfajor de galletas de arroz integral, relleno sabor chocolate y con baño de repostería - Libre de gluten","02-587549"
"Tía Maruca","No registra","Alfajor de galletas de arroz integral, relleno sabor limón y con baño de repostería libre de gluten.","02-587253"
"Tío Yaco","Alfajor de vainilla con dulce de leche","Alfajor sabor a vainilla aromatizado con esencia de vainilla con relleno de dulce de leche libre de gluten sin TACC","19010268"
"Tío Yaco","Alfajor de chocolate con baño de chocolate","Alfajor sabor chocolate aromatizado con esencia de chocolate con relleno de dulce de leche recubierto con baño de repostería sabor chocolate- Libre de gluten. Sin TACC","19010289"
"Urquiza - Alimentos Fundación Favaloro","No registra","Alfajor de arroz relleno a base de mousse sabor dulce de leche cubierto con baño de repostería semiamargo - Libre de gluten","02-592545"
"Yo También Quiero","No registra","Alfajor de maicena relleno de dulce de leche y coco rallado - Libre de gluten","02-600304"
"Yo También Quiero","No registra","Alfajor relleno de dulce de leche bañado en chocolate semiamargo - Libre de gluten","02-600302"
"Yo También Quiero","No registra","Alfajor relleno de dulce de membrillo bañado en glasé - Libre de gluten","02-600303"
"Bifidosa","No registra","Alimento dietético para lactantes y niños en la primera infancia, azúcar - bifidogénica con lactulosa, libre de gluten","02-512208"
"Formidable Crecer","No registra","Fórmula de continuación en polvo para lactantes de 6-12 meses. Libre de gluten","025/080000019-3-7/144"
"Formidable Crecer","No registra","Leche fórmula de inicio en polvo para niños lactantes de 0 a 6 meses de edad sin compromiso digestivo libre de gluten","025/080000019-3-7/159"
"Formidable Crecer","No registra","Fórmula de inicio en polvo para lactantes de 0-6 meses. Libre de gluten","025/080000019-3-7/143"
"Kas 1000","No registra","Alimento a base de caseinato de sodio hidrolizado y maltodextrina para lactantes y niños de primera infancia - Libre de gluten - Sin TACC","02-508502"
"La Serenísima - Crecer Plus 1","No registra","Leche modificada para lactantes hasta 6 meses de edad, U.A.T., homogeneizada, fórmula de inicio. Libre de gluten","02-584101"
"La Serenísima Baby 2","No registra","Fórmula de continuación en polvo, para lactantes de 6 a 12 meses de edad. Libre de gluten","02-596187"
"La Serenísima Crecer","No registra","Leche modificada para lactantes de hasta 6 meses de edad, UAT, homogeneizada. Fórmula de inicio, libre de gluten","02-524476"
"La Serenísima Crecer Plus","No registra","Leche modificada para lactantes y niños entre 6 y 12 meses - UAT- Homogeneizada - Libre de gluten","02-584408"
"Nutribaby","No registra","Formula láctea en polvo para lactantes de 0 a 6 meses con hierro prebióticos libre de gluten","025/080000019-3-7/175"
"Nutribaby 1","No registra","Fórmula láctea en polvo para lactantes de 0 a 6 meses con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten","025/080000019-3-7/147"
"Nutribaby 2","No registra","Fórmula láctea en polvo para lactantes de 6 a 12 meses, con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten","025/080000019-3-7/148"
"Nutribaby AC","No registra","Formula láctea en polvo para lactantes desde el nacimiento con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten","025/08000019-3-7/167"
"Nutribaby AR","No registra","Fórmula láctea en polvo para lactantes con problemas de regurgitación y/o reflujo desde el nacimiento con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten","025/080000019-3-7/150"
"Nutribaby Baja Lactosa","No registra","Fórmula láctea en polvo para lactantes desde el nacimiento reducida en lactosa con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten","025/080000019-3-7/154"
"Nutribaby Bienestar","No registra","Fórmula láctea en polvo para lactantes desde el nacimiento con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten","025/080000019-3-7/151"
